id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9
1,0.02688076047084977,0.2569229107436938,0.12314237063124651,0.03410337589492892,0.02731536802366232,0.2893217744842029,0.037336107768362464,0.13010874549195237,0.07486858649110098
2,0.02688076051709178,0.2569229106654199,0.12314237069168789,0.03410337595030794,0.027315368111690816,0.2893217739650339,0.03733610781116002,0.13010874576149234,0.07486858652611544
3,0.026880760470285512,0.25692291074465007,0.12314237063051507,0.034103375894252656,0.027315368022592264,0.28932177449050706,0.03733610776784038,0.13010874548868911,0.07486858649066791
4,0.0268930616896874,0.2569028687963322,0.12314537670924301,0.034119905270633265,0.02733056822289963,0.28924625486282723,0.03734821476707049,0.13012345825705765,0.07489029142424913
5,0.026880760470287646,0.2569229107446463,0.1231423706305168,0.034103375894255133,0.027315368022595307,0.28932177449048857,0.03733610776784135,0.1301087454886995,0.07486858649066956
6,0.026880760472344615,0.25692291074100965,0.12314237063228432,0.03410337589664219,0.02731536802555691,0.2893217744721344,0.03733610776872892,0.1301087454991641,0.07486858649213492
7,0.026880760470285602,0.25692291074464996,0.12314237063051504,0.03410337589425276,0.027315368022592365,0.2893217744905066,0.03733610776784047,0.13010874548868914,0.07486858649066809
8,0.026880760470285512,0.25692291074465007,0.12314237063051507,0.034103375894252656,0.027315368022592264,0.28932177449050706,0.03733610776784038,0.13010874548868911,0.07486858649066791
9,0.02688076047028557,0.25692291074464985,0.12314237063051506,0.034103375894252726,0.02731536802259234,0.2893217744905068,0.03733610776784044,0.13010874548868917,0.074868586490668
10,0.026880765297737908,0.2569229022031366,0.12314237476619705,0.03410338149412042,0.02731537495877474,0.28932173148613793,0.03733610983420941,0.1301087700321868,0.07486858992749923
11,0.02688076209465747,0.25692290733028783,0.12314237146423605,0.03410337801355157,0.027315370297770182,0.2893217637887493,0.037336109562427194,0.1301087480863442,0.07486858936197614
12,0.02688093802729312,0.2569225964586172,0.12314254046264154,0.03410359373483151,0.027315663462035924,0.2893201026869215,0.03733627018344387,0.1301095139641463,0.07486878102006914
13,0.026880760479919316,0.2569229107246373,0.12314237063974369,0.03410337590621016,0.02731536803874956,0.28932177440558154,0.03733610777799384,0.1301087455239056,0.07486858650325899
14,0.026880760470285512,0.25692291074465007,0.12314237063051507,0.034103375894252656,0.027315368022592264,0.28932177449050706,0.03733610776784038,0.13010874548868911,0.07486858649066791
15,0.026880858742897012,0.256922774770448,0.12314239682028388,0.03410351251034786,0.027315495629572025,0.2893211288292701,0.037336212119063836,0.13010886401744776,0.07486875656066957
16,0.026880760470285512,0.25692291074465007,0.12314237063051507,0.034103375894252656,0.027315368022592264,0.28932177449050706,0.03733610776784038,0.13010874548868911,0.07486858649066791
17,0.02688076047029191,0.256922910744636,0.12314237063051899,0.03410337589426091,0.027315368022601656,0.28932177449046304,0.037336107767847654,0.13010874548870097,0.07486858649067896
18,0.02688076219476724,0.2569229076799899,0.12314237203085492,0.034103377911220006,0.02731537046911104,0.2893217595152271,0.037336108566714134,0.13010875377853034,0.07486858785358544
19,0.026880766209675878,0.2569229020403827,0.12314237267800207,0.03410338349244825,0.027315375342509652,0.28932173525587296,0.037336112657153836,0.13010875726287544,0.0748685950610792
20,0.026880760470285512,0.25692291074465007,0.12314237063051507,0.034103375894252656,0.027315368022592264,0.28932177449050706,0.03733610776784038,0.13010874548868911,0.07486858649066791
21,0.026880760470285512,0.25692291074465007,0.12314237063051507,0.034103375894252656,0.027315368022592264,0.28932177449050706,0.03733610776784038,0.13010874548868911,0.07486858649066791
22,0.026880760471011532,0.25692291074369417,0.12314237063059284,0.03410337589528314,0.027315368023467686,0.28932177448622776,0.037336107768621736,0.13010874548907697,0.0748685864920242
23,0.026880760470285512,0.25692291074465007,0.12314237063051507,0.034103375894252656,0.027315368022592264,0.28932177449050706,0.03733610776784038,0.13010874548868911,0.07486858649066791
24,0.026880760470285512,0.25692291074465007,0.12314237063051507,0.034103375894252656,0.027315368022592264,0.28932177449050706,0.03733610776784038,0.13010874548868911,0.07486858649066791
25,0.026880760624450648,0.2569229104951285,0.12314237067219799,0.03410337610694332,0.02731536822142863,0.28932177353770516,0.03733610793768337,0.1301087456309852,0.07486858677347719
26,0.026880760470285595,0.25692291074464974,0.12314237063051506,0.03410337589425275,0.027315368022592382,0.2893217744905068,0.03733610776784048,0.1301087454886892,0.07486858649066803
27,0.026880760650277138,0.2569229104524863,0.12314237066572202,0.03410337613859822,0.02731536824117886,0.28932177342864474,0.03733610795074642,0.13010874565106992,0.07486858682127628
28,0.026905422875980054,0.2568771284249617,0.12316393023022162,0.034133579876476,0.02735440785137692,0.2891035991248935,0.03735724746811486,0.13020810507520753,0.0748965790727677
29,0.026880760470285512,0.25692291074465007,0.12314237063051507,0.034103375894252656,0.027315368022592264,0.28932177449050706,0.03733610776784038,0.13010874548868911,0.07486858649066791
30,0.026880834521584393,0.25692277752429904,0.12314243493382403,0.034103463544570514,0.027315478639396987,0.2893211145321989,0.03733615118001681,0.13010909473700025,0.07486865038710902
